time,P
0.060624,101148.72
0.221499,101150.12
0.382637,101150.26
0.544795,101154.55
0.713908,101151.12
0.866206,101147.67
1.030263,101144.57
1.190406,101145.56
1.349365,101141.84
1.514669,101143.28
1.673586,101145.07
1.832150,101146.20
1.993791,101147.03
2.154283,101147.05
2.316050,101146.81
2.477391,101146.20
2.646552,101143.81
2.798457,101143.31
2.961675,101143.23
3.121890,101140.17
3.282343,101138.95
3.443289,101133.70
3.613610,101125.50
3.764733,101121.72
3.927575,101114.40
4.088828,101110.95
4.249164,101105.31
4.413783,101101.07
4.571647,101099.47
4.732769,101096.31
4.894386,101093.28
5.054958,101091.98
5.214946,101089.61
5.377723,101088.81
5.537615,101087.42
5.699633,101084.63
5.862489,101084.19
6.031335,101083.51
6.182216,101083.17
6.343540,101082.75
6.505335,101081.28
6.666271,101081.12
6.827663,101080.44
6.988754,101079.84
7.149534,101079.51
7.310946,101078.67
7.471252,101076.61
7.631441,101078.27
7.792912,101078.64
7.953622,101078.78
8.115513,101078.34
8.277199,101078.42
8.436955,101077.94
8.599607,101077.75
8.759646,101077.89
8.921444,101077.64
9.081743,101078.31
9.246219,101077.89
9.404477,101076.98
9.566058,101076.78
9.725972,101077.78
9.889546,101077.92
10.047699,101078.33
10.209899,101077.42
10.371331,101077.19
10.532453,101077.61
10.692867,101077.17
10.852550,101076.98
11.015817,101077.31
11.175245,101077.00
11.338105,101076.82
11.497945,101077.08
11.658655,101077.20
11.819278,101077.01
11.980179,101077.23
12.143493,101077.39
12.302217,101077.69
12.464023,101077.76
12.626893,101078.50
12.787704,101078.50
12.948569,101078.66
13.109557,101079.12
13.269321,101079.51
13.431878,101079.72
13.591753,101079.66
13.754314,101079.45
13.913920,101079.37
14.081148,101079.19
14.238543,101078.89
14.401381,101078.25
14.558762,101078.33
14.719809,101078.44
14.880520,101078.23
15.042367,101077.87
15.204489,101077.39
15.365019,101077.59
15.525522,101077.44
15.685778,101076.40
15.847938,101076.90
16.007974,101076.51
16.169827,101076.28
16.330063,101076.34
16.491003,101076.42
16.652372,101076.37
16.813980,101076.53
16.974591,101076.67
17.135275,101076.89
17.296597,101076.89
17.457516,101077.04
17.618341,101077.23
17.780035,101077.58
17.939936,101077.83
18.101845,101078.34
18.262703,101078.67
18.423993,101078.70
18.585357,101078.45
18.745003,101078.38
18.907591,101078.45
19.068523,101078.42
19.230349,101078.19
19.390446,101078.09
19.551384,101078.09
19.711330,101078.08
19.873401,101078.20
20.034848,101078.44
20.196549,101079.08
20.356783,101079.87
20.518392,101079.98
20.678975,101080.48
20.847946,101080.73
21.001212,101081.48
21.161652,101083.65
21.322659,101085.14
21.483565,101087.51
21.645533,101089.12
21.806292,101093.59
21.967713,101095.89
22.129477,101097.22
22.289798,101099.17
22.450405,101100.42
22.612886,101100.93
22.773436,101101.67
22.933041,101102.09
23.096024,101102.53
23.260231,101102.76
23.417151,101102.73
23.577471,101102.70
23.740292,101102.91
23.900463,101103.20
24.067177,101103.25
24.222825,101103.12
24.382809,101103.27
24.546049,101103.30
24.705532,101103.19
24.871262,101103.23
25.028770,101103.03
25.189722,101103.38
25.351076,101103.12
25.512655,101102.83
25.671934,101102.15
25.833426,101102.06
25.993438,101101.48
26.155953,101100.76
26.316989,101100.29
26.479335,101099.29
26.639703,101098.23
26.798449,101097.55
26.961553,101097.39
27.121222,101097.16
27.281757,101096.34
27.444237,101096.36
27.606860,101095.83
27.766250,101094.74
27.927329,101094.39
28.087966,101093.20
28.249778,101091.89
28.410631,101091.53
28.571526,101090.22
28.732789,101089.34
28.897723,101087.61
29.054839,101086.56
29.215495,101085.76
29.376841,101085.19
29.537974,101084.95
29.698913,101084.61
29.860437,101084.20
30.021540,101084.36
30.181343,101083.94
30.343261,101084.36
30.504324,101084.00
30.665382,101084.48
30.826918,101084.25
30.988109,101083.94
31.147569,101083.53
31.315707,101083.17
31.471270,101083.36
31.631780,101083.50
31.793274,101083.22
31.954101,101083.39
32.114128,101083.44
32.275990,101083.22
32.439632,101083.62
32.598443,101083.76
32.758480,101083.65
32.919763,101083.78
33.081531,101083.95
33.242339,101084.81
33.403942,101085.33
33.564282,101086.12
33.724531,101088.15
33.887957,101088.67
34.046636,101089.92
34.207687,101090.59
34.369192,101092.01
34.529777,101094.34
34.691441,101095.20
34.852570,101097.42
35.012619,101098.84
35.174823,101101.12
35.334084,101102.55
35.496830,101104.61
35.658156,101106.28
35.818567,101109.88
35.978721,101112.18
36.139054,101114.76
36.301510,101115.83
36.465507,101120.61
36.624562,101124.62
36.784601,101126.10
36.945453,101128.88
37.106542,101131.31
37.267306,101134.39
37.428986,101134.92
37.589226,101134.86
37.751077,101136.78
37.912910,101139.59
38.073959,101140.17
38.234352,101142.17
38.394327,101141.62
38.556521,101141.62
38.716755,101143.43
38.882518,101143.61
39.038843,101142.37
39.206253,101139.06
39.361228,101134.59
39.522455,101128.20
39.682261,101128.63
39.844351,101129.89
40.004905,101130.75
40.165930,101131.45
40.326212,101128.91
40.487920,101127.78
40.649282,101128.42
40.809599,101128.19
40.971443,101128.55
41.132341,101128.49
41.295029,101129.66
41.453808,101128.06
41.614736,101125.00
41.775964,101124.34
41.937771,101122.42
42.098957,101121.47
42.259780,101118.67
42.421060,101113.68
42.582336,101111.00
42.744361,101106.12
42.903458,101098.64
43.064400,101096.67
43.225841,101097.48
43.388122,101097.50
43.549138,101097.59
43.709102,101100.67
43.871615,101100.76
44.031012,101101.43
44.193660,101101.04
44.354085,101099.78
44.515642,101098.75
44.676187,101098.16
44.836991,101099.82
44.998401,101101.12
45.158927,101099.51
45.318346,101102.56
45.481481,101102.61
45.641979,101100.15
45.803294,101102.33
45.963851,101102.84
46.132285,101102.36
46.286033,101103.78
46.446105,101106.23
46.609045,101105.81
46.769268,101105.61
46.931934,101104.25
47.091675,101101.73
47.251452,101100.79
47.413137,101097.98
47.572832,101098.25
47.735292,101096.64
47.896777,101095.84
48.058684,101095.64
48.219372,101095.26
48.378668,101094.76
48.554169,101095.64
48.700578,101097.05
48.862089,101099.15
49.024644,101102.62
49.184355,101105.54
49.345364,101106.12
49.506823,101109.52
49.666613,101111.20
49.828973,101110.28
49.989571,101112.61
50.150494,101113.65
50.311058,101111.50
50.471951,101111.72
50.634316,101109.17
50.796889,101107.40
50.956353,101106.34
51.117644,101105.06
51.277509,101104.90
51.438842,101104.45
51.600251,101104.62
51.760460,101104.78
51.923292,101102.75
52.082993,101102.37
52.246216,101101.89
52.405092,101100.00
52.565707,101100.53
52.728185,101102.86
52.888794,101103.25
53.050945,101103.22
53.210986,101104.41
53.372161,101105.12
53.533846,101107.20
53.694275,101108.18
53.855691,101110.14
54.016844,101112.51
54.180362,101114.76
54.338997,101116.59
54.500128,101114.39
54.661403,101115.42
54.820863,101115.91
54.982505,101115.19
55.143592,101115.86
55.305534,101115.06
55.466305,101114.01
55.628068,101113.68
55.788852,101112.20
55.950330,101111.14
56.111040,101109.83
56.272087,101109.42
56.433337,101108.97
56.598657,101108.31
56.755301,101109.59
56.916653,101108.40
57.078853,101106.14
57.238602,101107.14
57.401095,101106.89
57.562854,101107.60
57.724235,101107.40
57.884871,101108.31
58.046400,101107.67
58.206814,101105.53
58.368641,101104.66
58.528536,101104.37
58.690262,101102.84
58.851664,101103.31
59.017304,101103.84
59.174033,101103.98
59.333850,101102.64
59.494872,101103.06
59.658006,101103.17
59.817972,101103.30
59.978637,101103.55
60.139476,101102.17
60.301441,101102.12
60.462501,101101.57
60.628184,101100.90
60.785211,101099.61
60.944936,101099.81
61.107891,101099.43
61.267978,101098.30
61.427721,101098.80
61.589402,101097.92
61.750963,101096.03
61.912360,101096.61
62.073093,101096.00
62.233735,101096.33
62.395398,101096.81
62.555003,101095.36
62.716571,101095.61
62.878960,101095.81
63.038441,101094.81
63.200208,101096.59
63.361914,101095.04
63.521950,101094.31
63.683334,101094.82
63.844348,101092.86
64.005600,101092.76
64.165484,101093.72
64.327533,101092.58
64.490069,101086.89
64.650633,101085.95
64.809914,101085.61
64.970772,101088.75
65.132319,101090.89
65.292810,101090.26
65.454226,101091.83
65.616361,101091.44
65.783990,101091.34
65.938748,101092.20
66.099282,101091.41
66.259987,101091.30
66.422011,101091.33
66.582061,101090.84
66.743475,101091.53
66.906372,101093.29
67.066536,101094.35
67.227595,101095.25
67.389350,101097.89
67.549531,101098.78
67.710504,101098.98
67.872179,101100.92
68.032382,101101.78
68.200706,101101.12
68.355427,101102.08
68.515040,101102.17
68.677742,101101.73
68.838325,101102.06
68.999598,101102.26
69.160610,101103.53
69.320736,101104.53
69.482693,101106.96
69.644619,101107.46
69.806084,101108.50
69.966893,101109.11
70.126667,101108.18
70.287645,101108.62
70.449010,101106.53
70.611921,101105.87
70.771269,101103.44
70.931390,101100.12
71.093644,101099.81
71.254401,101098.16
71.415040,101096.80
71.581258,101096.22
71.738494,101095.64
71.899753,101095.81
72.060507,101098.22
72.220672,101098.47
72.383179,101098.94
72.542507,101100.79
72.704848,101100.04
72.866228,101099.40
73.031747,101099.17
73.188787,101098.37
73.347862,101097.50
73.510280,101097.56
