timestamps,TP9,AF7,AF8,TP10,Right AUX
1741704880.119,668.945,-19.043,-23.926,999.512,0.000
1741704880.123,999.512,-6.348,-37.598,806.152,0.000
1741704880.127,-273.926,-43.457,-40.527,-806.641,0.000
1741704880.131,-1000.000,-59.082,-34.668,-763.184,0.000
1741704880.134,453.613,-13.672,-28.809,812.988,0.000
1741704880.138,999.512,11.230,-34.180,999.512,0.000
1741704880.142,4.395,-55.176,-57.617,-284.668,0.000
1741704880.146,-1000.000,-98.145,-59.082,-1000.000,0.000
1741704880.150,-244.141,-44.922,-36.133,-56.152,0.000
1741704880.154,999.512,-12.207,-37.598,999.512,0.000
1741704880.158,240.723,-51.758,-56.152,83.984,0.000
1741704880.162,-1000.000,-86.426,-56.641,-1000.000,0.000
1741704880.166,-556.152,-59.082,-42.480,-339.355,0.000
1741704880.170,999.512,-10.254,-38.574,999.512,0.000
1741704880.174,494.629,-25.391,-52.246,289.062,0.000
1741704880.178,-1000.000,-83.984,-54.199,-1000.000,0.000
1741704880.182,-600.098,-54.688,-34.668,-418.457,0.000
1741704880.185,903.320,11.719,-25.879,999.512,0.000
1741704880.189,999.512,-3.906,-30.762,758.301,0.000
1741704880.193,-242.188,-67.383,-37.598,-667.969,0.000
1741704880.197,-1000.000,-87.402,-30.762,-1000.000,0.000
1741704880.201,-186.523,-53.223,-28.809,128.418,0.000
1741704880.205,999.512,-20.020,-42.480,999.512,0.000
1741704880.209,128.418,-47.852,-49.316,-220.215,0.000
1741704880.213,-1000.000,-79.102,-36.133,-1000.000,0.000
1741704880.217,-248.535,-37.598,-23.926,-104.492,0.000
1741704880.221,999.512,5.371,-24.902,999.512,0.000
1741704880.225,227.539,-34.668,-31.738,128.906,0.000
1741704880.228,-1000.000,-73.242,-32.715,-1000.000,0.000
1741704880.232,-271.484,-20.020,-17.578,-231.445,0.000
1741704880.236,999.512,25.391,-20.020,999.512,0.000
1741704880.240,431.641,-19.531,-35.156,288.574,0.000
1741704880.244,-1000.000,-72.754,-42.480,-1000.000,0.000
1741704880.248,-955.078,-63.477,-43.945,-685.547,0.000
1741704880.252,481.934,-6.348,-33.203,862.305,0.000
1741704880.256,999.512,4.883,-38.086,854.004,0.000
1741704880.260,-232.422,-49.316,-48.340,-680.176,0.000
