"DATE","WIND","IND","RAIN","IND.1","T.MAX","IND.2","T.MIN","T.MIN.G"
1961-01-01,13.67,"0",0.2,"0",9.5,"0",3.7,-1
1961-01-02,11.5,"0",5.1,"0",7.2,"0",4.2,1.1
1961-01-03,11.25,"0",0.4,"0",5.5,"0",0.5,-0.5
1961-01-04,8.63,"0",0.2,"0",5.6,"0",0.4,-3.2
1961-01-05,11.92,"0",10.4,"0",7.2,"1",-1.5,-7.5
1961-01-06,10.67,"0",0,"0",6.5,"0",1.2,-2
1961-01-07,9.17,"0",1.9,"0",9.2,"1",-2.4,-7.1
1961-01-08,14.29,"0",0,"0",6.6,"0",3.1,0
1961-01-09,8.04,"0",8.3,"0",6.8,"0",2.4,-0.8
1961-01-10,11.42,"0",0,"0",6.5,"0",3,0.5
1961-01-11,7.54,"0",0.5,"0",10,"1",-3.1,-7.7
1961-01-12,15.54,"0",6,"0",12.2,"1",-3.3,NA
1961-01-13,4.63,"0",0,"0",13.1,"0",5.5,3.3
1961-01-14,3.08,"0",0,"0",5.6,"1",-3.2,-6.1
1961-01-15,2.5,"0",0,"0",4.4,"1",-5,-8.3
1961-01-16,9.25,"0",0,"0",4.6,"1",-4.2,-8.3
1961-01-17,13.42,"0",2,"0",9.3,"0",3.2,-2.7
1961-01-18,17.83,"0",8.4,"0",10.1,"0",4.3,5.1
1961-01-19,3.71,"0",0.9,"0",6.6,"0",1.6,-2
1961-01-20,3.17,"0",21.5,"0",9.3,"1",-0.6,-5.4
1961-01-21,8.04,"0",0.2,"0",10.1,"0",1.6,0.4
1961-01-22,9.38,"0",0.3,"0",6.5,"0",5.5,1.3
1961-01-23,13.7,"0",0,"0",6.5,"0",5.5,2.2
1961-01-24,20.38,"0",9.5,"0",5.3,"0",3.4,0.5
1961-01-25,9.25,"0",0,"0",4.3,"0",2.2,1.1
1961-01-26,14.33,"0",0.7,"0",13,"0",2.2,-1.6
1961-01-27,16.79,"0",1.5,"0",12.3,"0",3.7,2.7
1961-01-28,12.25,"0",2.8,"0",12,"0",4.8,-2.2
1961-01-29,22,"0",6.2,"0",12.6,"0",4.4,1.2
1961-01-30,14.5,"0",1.4,"0",7.8,"0",3.7,0.8
1961-01-31,14.88,"0",4.7,"0",7.2,"0",2.1,-0.5
1961-02-01,10.17,"0",2.1,"0",8.7,"0",1,-2.2
1961-02-02,10.88,"0",0.1,"0",8.1,"0",1,1
1961-02-03,8.5,"0",4,"0",8.1,"1",-0.6,-5
1961-02-04,12.54,"0",5.7,"0",11.3,"0",0,-1.1
1961-02-05,13.96,"0",8.6,"0",13.5,"0",4.7,2.1
1961-02-06,19.17,"0",0.5,"0",7.8,"0",2.1,1.5
1961-02-07,14.21,"0",0.3,"0",11.6,"0",3.2,0.7
1961-02-08,16.5,"0",4.4,"0",14.6,"0",4.4,2.4
1961-02-09,14.37,"0",0.3,"0",11.7,"0",6.4,3.2
1961-02-10,11.08,"0",0.8,"0",10.7,"0",7.3,3.1
1961-02-11,17.5,"0",3.5,"0",11.3,"0",7.3,3.8
1961-02-12,11.71,"0",0,"0",15.5,"0",7.1,4.3
1961-02-13,16.08,"0",0,"0",12.7,"0",8.8,6
1961-02-14,15.46,"0",0,"0",13.3,"0",10,7.7
1961-02-15,5.17,"0",0,"0",13.8,"0",2.5,-3.3
1961-02-16,3.42,"0",0,"0",12.1,"0",2.5,-2.6
1961-02-17,6.17,"0",0,"0",11.7,"0",4.4,-0.4
1961-02-18,10.88,"0",0,"0",13.3,"0",6,4.3
1961-02-19,9.62,"0",0,"0",14.5,"0",8.2,-0.4
1961-02-20,7.25,"0",0,"0",13.1,"0",5.3,-1.5
1961-02-21,3.75,"0",0,"0",8.6,"0",4.7,-2.1
1961-02-22,8.25,"0",0,"0",7.5,"0",5.1,2.5
1961-02-23,16.38,"0",4.6,"0",8.8,"0",5.1,2.2
1961-02-24,8.17,"0",0.7,"0",11,"0",6.1,4.4
1961-02-25,13.08,"0",3.2,"0",9.8,"0",2.7,-1.3
1961-02-26,21.17,"0",2.1,"0",14.5,"0",5.2,1
1961-02-27,12.75,"0",3.1,"0",10.1,"0",4.8,1.1
1961-02-28,14.75,"0",1,"0",10.6,"0",3.8,0.7
1961-03-01,10.25,"0",0.7,"0",12.7,"0",8.1,5
1961-03-02,10.88,"0",0,"0",12.2,"0",7.2,4.3
1961-03-03,11.29,"0",0,"0",12.2,"0",3,-1.6
1961-03-04,6.21,"0",0,"0",11.8,"0",2.8,0.5
1961-03-05,5.5,"0",0,"0",17.2,"0",0,-3.2
1961-03-06,2.83,"0",0,"0",14.4,"0",4.3,1.3
1961-03-07,3.63,"0",0,"0",14.7,"0",6,2.3
1961-03-08,1.71,"0",0,"0",15.1,"0",4.4,0.8
1961-03-09,3.75,"0",0,"0",14.2,"0",6.1,1.6
1961-03-10,8.79,"0",0,"0",11.8,"0",6.7,3.8
1961-03-11,10.34,"0",0,"0",14.6,"0",5.7,2.4
1961-03-12,17.12,"0",0.1,"0",13.4,"0",4.8,NA
1961-03-13,13.96,"0",0,"0",15.5,"0",10.5,9
1961-03-14,8.12,"0",0,"0",15.5,"0",9.5,5
1961-03-15,11.54,"0",0,"0",16.2,"0",7.1,0.5
1961-03-16,2.75,"0",0,"0",18.8,"0",2.2,-1.2
1961-03-17,13,"0",0,"0",9.7,"0",2.1,-1.5
1961-03-18,13.17,"0",0.5,"0",10.2,"0",2.8,0.4
1961-03-19,7.75,"0",0,"2",9.6,"0",3.3,-1.6
1961-03-20,15.41,"0",0,"0",11.8,"0",2.3,-2.2
1961-03-21,8.17,"0",0,"0",10.3,"0",1.7,-1.7
1961-03-22,8,"0",0,"0",12.7,"0",3.1,-1.8
1961-03-23,10.88,"0",0,"0",9.4,"0",5.5,5
1961-03-24,8.46,"0",0,"0",14.5,"0",6.1,5.2
1961-03-25,10.75,"0",0,"0",12.2,"0",3.2,-1.6
1961-03-26,13.75,"0",0.3,"0",11.8,"0",8.4,5.5
1961-03-27,6.75,"0",0,"0",11.7,"1",-0.8,-5
1961-03-28,10.88,"0",1.1,"0",13.3,"0",0.4,-2.6
1961-03-29,16.62,"0",1.8,"0",14.7,"2",7.5,5.5
1961-03-30,14.79,"0",1.8,"0",13.8,"0",9.5,8.6
1961-03-31,11.92,"0",1.1,"0",14.5,"0",7.1,2.7
1961-04-01,11.67,"0",2.5,"0",13.7,"0",8.8,7.7
1961-04-02,5.25,"0",0,"0",10.3,"0",5.2,5
1961-04-03,5.5,"0",2.6,"0",6.6,"0",3.4,3.2
1961-04-04,6,"0",9.6,"0",10.8,"0",3.8,1.6
1961-04-05,9.25,"0",4.2,"0",14.3,"0",4.7,4.2
1961-04-06,5,"0",0,"0",11.8,"0",8,6.3
1961-04-07,5.33,"0",0,"0",10.2,"0",1.1,-0.5
1961-04-08,8.71,"0",8.1,"0",12.1,"0",3.8,-0.8
1961-04-09,9.96,"0",1.9,"0",12,"0",8.8,8.3
1961-04-10,5.21,"0",1.9,"0",14.4,"0",9.4,9
1961-04-11,5.66,"0",5.8,"0",16.1,"0",3.7,-0.2
1961-04-12,6.54,"0",7.8,"0",13.7,"0",10.4,9.3
1961-04-13,8,"0",0.1,"0",15,"0",9,3.1
1961-04-14,4.29,"0",0.5,"0",14.6,"0",7,3.3
1961-04-15,2.46,"0",0,"0",12.7,"0",3.4,0
1961-04-16,2.88,"0",0,"0",12.2,"0",2.3,-1.2
1961-04-17,4.46,"0",0,"0",15.5,"0",3.8,-0.8
1961-04-18,5.66,"0",0.2,"0",10.7,"0",6.7,3.6
1961-04-19,12.96,"0",3.7,"0",11.6,"0",7.6,-1.1
1961-04-20,12.25,"0",1,"0",12.4,"0",7.5,NA
1961-04-21,9.5,"0",3.6,"0",16.4,"0",8.4,1.6
1961-04-22,7.46,"0",11,"0",12.6,"0",9.3,3.8
1961-04-23,10.71,"0",1.8,"0",12.8,"0",6.7,1.3
1961-04-24,5.25,"0",2.8,"0",13.8,"0",2.4,-2.2
1961-04-25,13.75,"0",17.2,"0",12.8,"0",7.7,1.1
1961-04-26,6,"0",0,"0",16.2,"0",6.7,-0.1
1961-04-27,6.25,"0",0,"0",16.8,"0",7.2,1.6
1961-04-28,2.67,"0",0,"0",15.5,"0",2.7,-2.6
1961-04-29,4.04,"0",4,"0",15.7,"0",7.1,3.8
1961-04-30,5.09,"0",1.6,"0",16.5,"0",9,NA
1961-05-01,9.96,"0",7.3,"0",19.2,"0",8.2,NA
1961-05-02,10.46,"0",3.4,"0",13,"0",7.7,NA
1961-05-03,9.5,"0",0.4,"0",15.5,"0",7.4,6.6
1961-05-04,5.96,"0",2,"0",16.7,"0",10.5,7.8
1961-05-05,9.13,"0",0.7,"0",16.1,"0",6.2,3
1961-05-06,16.83,"0",0.8,"0",15.5,"0",9.2,6.2
1961-05-07,18.21,"0",2.3,"0",13.3,"0",6.8,4.6
1961-05-08,18.58,"0",0,"0",15,"0",7.2,5.5
1961-05-09,7.25,"0",0,"0",16.7,"0",5.4,2.7
1961-05-10,3.33,"0",0,"0",17.1,"0",2.1,-1
1961-05-11,3.67,"0",0,"0",19.7,"0",2.2,0.3
1961-05-12,5.17,"0",0,"0",19.8,"0",6.5,1.4
1961-05-13,5.21,"0",0.2,"0",22.1,"0",5.1,0.1
1961-05-14,10.04,"0",1.4,"0",15.7,"0",10.2,6.6
1961-05-15,5.91,"0",0,"0",14.7,"0",9,8.5
1961-05-16,8.38,"0",0,"0",13.1,"0",8.8,4.6
1961-05-17,5.83,"0",0,"0",13.4,"0",3,-0.4
1961-05-18,5.04,"0",0,"0",12.7,"0",4.3,-1.2
1961-05-19,6.83,"0",0,"0",14.6,"0",5,0.5
