element,wavelength,intensity,persistence,type
Actinium,2847.16,100,0,Actinides
Actinium,2994.17,130,0,Actinides
Actinium,3043.30,300,0,Actinides
Actinium,3069.36,130,0,Actinides
Actinium,3112.83,130,0,Actinides
Actinium,3153.09,300,0,Actinides
Actinium,3154.41,300,0,Actinides
Actinium,3164.81,150,0,Actinides
Actinium,3230.59,130,0,Actinides
Actinium,3260.91,300,0,Actinides
Actinium,3383.53,130,0,Actinides
Actinium,3413.84,130,0,Actinides
Actinium,3417.77,200,0,Actinides
Actinium,3481.16,300,0,Actinides
Actinium,3489.53,130,0,Actinides
Actinium,3554.99,130,0,Actinides
Actinium,3565.59,700,1,Actinides
Actinium,3756.67,150,0,Actinides
Actinium,3799.82,70,0,Actinides
Actinium,3863.12,700,1,Actinides
Actinium,3885.56,400,1,Actinides
Actinium,4034.63,200,0,Actinides
Actinium,4061.60,150,0,Actinides
Actinium,4063.10,200,0,Actinides
Actinium,4088.44,1000,1,Actinides
Actinium,4168.40,700,1,Actinides
Actinium,4179.98,1000,1,Actinides
Actinium,4183.12,500,1,Actinides
Actinium,4194.40,400,1,Actinides
Actinium,4209.69,100,0,Actinides
Actinium,4359.13,130,0,Actinides
Actinium,4384.53,300,1,Actinides
Actinium,4386.41,500,1,Actinides
Actinium,4396.71,400,1,Actinides
Actinium,4462.73,400,1,Actinides
Actinium,4507.20,700,1,Actinides
Actinium,4605.45,300,0,Actinides
Actinium,4613.93,300,1,Actinides
Actinium,4705.78,200,0,Actinides
Actinium,4716.58,500,1,Actinides
Actinium,4720.16,300,0,Actinides
Actinium,4812.22,200,0,Actinides
Actinium,5258.24,300,1,Actinides
Actinium,5569.26,200,0,Actinides
Actinium,5732.05,70,0,Actinides
Actinium,5758.97,130,0,Actinides
Actinium,5910.85,300,1,Actinides
Actinium,6164.75,200,0,Actinides
Actinium,6167.83,30,0,Actinides
Actinium,6242.83,100,0,Actinides
Actinium,6359.86,300,1,Actinides
Actinium,6691.27,200,1,Actinides
Actinium,7290.40,300,1,Actinides
Actinium,7866.10,200,0,Actinides
Actinium,2847.16,100,0,Actinides
Actinium,2994.17,130,0,Actinides
Actinium,3043.30,300,0,Actinides
Actinium,3069.36,130,0,Actinides
Actinium,3112.83,130,0,Actinides
Actinium,3153.09,300,0,Actinides
Actinium,3154.41,300,0,Actinides
Actinium,3164.81,150,0,Actinides
Actinium,3230.59,130,0,Actinides
Actinium,3260.91,300,0,Actinides
Actinium,3383.53,130,0,Actinides
Actinium,3413.84,130,0,Actinides
Actinium,3417.77,200,0,Actinides
Actinium,3481.16,300,0,Actinides
Actinium,3489.53,130,0,Actinides
Actinium,3554.99,130,0,Actinides
Actinium,3565.59,700,1,Actinides
Actinium,3756.67,150,0,Actinides
Actinium,3799.82,70,0,Actinides
Actinium,3863.12,700,1,Actinides
Actinium,3885.56,400,1,Actinides
Actinium,4034.63,200,0,Actinides
Actinium,4061.60,150,0,Actinides
Actinium,4063.10,200,0,Actinides
Actinium,4088.44,1000,1,Actinides
Actinium,4168.40,700,1,Actinides
Actinium,4179.98,1000,1,Actinides
Actinium,4183.12,500,1,Actinides
Actinium,4194.40,400,1,Actinides
Actinium,4209.69,100,0,Actinides
Actinium,4359.13,130,0,Actinides
Actinium,4384.53,300,1,Actinides
Actinium,4386.41,500,1,Actinides
Actinium,4396.71,400,1,Actinides
Actinium,4462.73,400,1,Actinides
Actinium,4507.20,700,1,Actinides
Actinium,4605.45,300,0,Actinides
Actinium,4613.93,300,1,Actinides
Actinium,4705.78,200,0,Actinides
Actinium,4716.58,500,1,Actinides
Actinium,4720.16,300,0,Actinides
Actinium,4812.22,200,0,Actinides
Actinium,5258.24,300,1,Actinides
Actinium,5569.26,200,0,Actinides
Actinium,5732.05,70,0,Actinides
Actinium,5758.97,130,0,Actinides
Actinium,5910.85,300,1,Actinides
Actinium,6164.75,200,0,Actinides
Actinium,6167.83,30,0,Actinides
Actinium,6242.83,100,0,Actinides
Actinium,6359.86,300,1,Actinides
Actinium,6691.27,200,1,Actinides
Actinium,7290.40,300,1,Actinides
Actinium,7866.10,200,0,Actinides
Gold,2000.792,150,0,Transition Metals
Gold,2012.00,1000,1,Transition Metals
Gold,2021.38,250,1,Transition Metals
Gold,2044.587,150,0,Transition Metals
Gold,2082.077,400,1,Transition Metals
Gold,2110.685,500,1,Transition Metals
Gold,2228.915,200,0,Transition Metals
Gold,2248.562,400,0,Transition Metals
Gold,2263.627,700,1,Transition Metals
Gold,2304.684,250,0,Transition Metals
Gold,2352.65,15,0,Transition Metals
Gold,2387.75,11,0,Transition Metals
Gold,2427.95,250,1,Transition Metals
Gold,2533.518,400,0,Transition Metals
Gold,2552.658,100,0,Transition Metals
Gold,2616.393,400,0,Transition Metals
Gold,2641.480,25,0,Transition Metals
Gold,2675.954,300,1,Transition Metals
Gold,2748.253,100,1,Transition Metals
Gold,2780.822,9,0,Transition Metals
Gold,2802.036,600,1,Transition Metals
Gold,2819.793,200,0,Transition Metals
Gold,2822.546,1000,1,Transition Metals
Gold,2825.437,400,0,Transition Metals
Gold,2837.848,120,0,Transition Metals
Gold,2846.920,400,0,Transition Metals
Gold,2883.446,25,0,Transition Metals
Gold,2891.961,25,0,Transition Metals
Gold,2893.247,400,1,Transition Metals
Gold,2907.042,20,0,Transition Metals
Gold,2913.517,40,0,Transition Metals
Gold,2918.235,400,1,Transition Metals
Gold,2954.222,200,0,Transition Metals
Gold,2990.268,200,0,Transition Metals
Gold,2994.800,400,1,Transition Metals
Gold,3029.204,30,1,Transition Metals
Gold,3065.424,25,0,Transition Metals
Gold,3122.784,150,1,Transition Metals
Gold,3194.720,9,0,Transition Metals
Gold,3230.632,25,0,Transition Metals
Gold,3308.305,25,0,Transition Metals
Gold,3309.638,25,0,Transition Metals
Gold,3557.365,25,0,Transition Metals
Gold,3586.731,25,0,Transition Metals
Gold,3611.568,9,0,Transition Metals
Gold,3631.311,9,0,Transition Metals
Gold,3637.905,25,0,Transition Metals
Gold,3645.016,9,0,Transition Metals
Gold,3650.739,9,0,Transition Metals
Gold,3709.622,9,0,Transition Metals
Gold,3796.007,9,0,Transition Metals
Gold,3897.865,40,0,Transition Metals
Gold,3909.383,25,0,Transition Metals
Gold,4040.931,40,0,Transition Metals
Gold,4065.068,60,0,Transition Metals
Gold,4315.110,20,0,Transition Metals
Gold,4437.269,11,0,Transition Metals
Gold,4488.253,25,0,Transition Metals
Gold,4607.512,80,0,Transition Metals
Gold,4792.583,50,0,Transition Metals
Gold,5230.259,25,0,Transition Metals
Gold,5837.374,25,0,Transition Metals
Gold,5956.965,25,0,Transition Metals
Gold,6278.170,50,1,Transition Metals
Gold,6562.680,9,0,Transition Metals
Gold,7510.728,50,0,Transition Metals
Gold,2000.792,150,0,Transition Metals
Gold,2012.00,1000,1,Transition Metals
Gold,2021.38,250,1,Transition Metals
Gold,2044.587,150,0,Transition Metals
Gold,2082.077,400,1,Transition Metals
Gold,2110.685,500,1,Transition Metals
Gold,2228.915,200,0,Transition Metals
Gold,2248.562,400,0,Transition Metals
Gold,2263.627,700,1,Transition Metals
Gold,2304.684,250,0,Transition Metals
Gold,2352.65,15,0,Transition Metals
Gold,2387.75,11,0,Transition Metals
Gold,2427.95,250,1,Transition Metals
Gold,2533.518,400,0,Transition Metals
Gold,2552.658,100,0,Transition Metals
Gold,2616.393,400,0,Transition Metals
Gold,2641.480,25,0,Transition Metals
Gold,2675.954,300,1,Transition Metals
Gold,2748.253,100,1,Transition Metals
Gold,2780.822,9,0,Transition Metals
Gold,2802.036,600,1,Transition Metals
Gold,2819.793,200,0,Transition Metals
Gold,2822.546,1000,1,Transition Metals
Gold,2825.437,400,0,Transition Metals
Gold,2837.848,120,0,Transition Metals
Gold,2846.920,400,0,Transition Metals
Gold,2883.446,25,0,Transition Metals
Gold,2891.961,25,0,Transition Metals
Gold,2893.247,400,1,Transition Metals
Gold,2907.042,20,0,Transition Metals
Gold,2913.517,40,0,Transition Metals
Gold,2918.235,400,1,Transition Metals
Gold,2954.222,200,0,Transition Metals
Gold,2990.268,200,0,Transition Metals
Gold,2994.800,400,1,Transition Metals
Gold,3029.204,30,1,Transition Metals
Gold,3065.424,25,0,Transition Metals
Gold,3122.784,150,1,Transition Metals
Gold,3194.720,9,0,Transition Metals
Gold,3230.632,25,0,Transition Metals
Gold,3308.305,25,0,Transition Metals
Gold,3309.638,25,0,Transition Metals
Gold,3557.365,25,0,Transition Metals
Gold,3586.731,25,0,Transition Metals
Gold,3611.568,9,0,Transition Metals
Gold,3631.311,9,0,Transition Metals
Gold,3637.905,25,0,Transition Metals
Gold,3645.016,9,0,Transition Metals
Gold,3650.739,9,0,Transition Metals
Gold,3709.622,9,0,Transition Metals
Gold,3796.007,9,0,Transition Metals
Gold,3897.865,40,0,Transition Metals
Gold,3909.383,25,0,Transition Metals
Gold,4040.931,40,0,Transition Metals
Gold,4065.068,60,0,Transition Metals
Gold,4315.110,20,0,Transition Metals
Gold,4437.269,11,0,Transition Metals
Gold,4488.253,25,0,Transition Metals
Gold,4607.512,80,0,Transition Metals
Gold,4792.583,50,0,Transition Metals
Gold,5230.259,25,0,Transition Metals
Gold,5837.374,25,0,Transition Metals
Gold,5956.965,25,0,Transition Metals
Gold,6278.170,50,1,Transition Metals
Gold,6562.680,9,0,Transition Metals
Gold,7510.728,50,0,Transition Metals
Promethium,3072.41,300,0,Lanthanides
Promethium,3427.40,500,0,Lanthanides
Promethium,3449.80,400,0,Lanthanides
Promethium,3634.20,300,0,Lanthanides
Promethium,3659.39,300,0,Lanthanides
Promethium,3689.79,400,0,Lanthanides
Promethium,3692.50,300,0,Lanthanides
Promethium,3697.50,300,0,Lanthanides
Promethium,3702.63,400,0,Lanthanides
Promethium,3711.72,800,0,Lanthanides
Promethium,3726.01,150,0,Lanthanides
Promethium,3742.52,300,0,Lanthanides
Promethium,3745.86,500,0,Lanthanides
Promethium,3747.09,300,0,Lanthanides
Promethium,3750.09,500,0,Lanthanides
Promethium,3795.66,400,0,Lanthanides
Promethium,3820.53,300,0,Lanthanides
Promethium,3842.98,300,0,Lanthanides
Promethium,3877.62,800,0,Lanthanides
Promethium,3892.15,1000,1,Lanthanides
Promethium,3899.78,400,0,Lanthanides
Promethium,3910.26,1000,1,Lanthanides
Promethium,3919.10,1000,1,Lanthanides
Promethium,3936.48,800,1,Lanthanides
Promethium,3944.21,300,0,Lanthanides
Promethium,3957.74,1000,1,Lanthanides
Promethium,3980.74,500,0,Lanthanides
Promethium,3995.05,300,0,Lanthanides
Promethium,3998.96,1000,1,Lanthanides
Promethium,4009.96,500,0,Lanthanides
Promethium,4051.54,300,0,Lanthanides
Promethium,4055.20,600,0,Lanthanides
Promethium,4075.84,600,1,Lanthanides
Promethium,4086.10,500,1,Lanthanides
Promethium,4192.92,300,0,Lanthanides
Promethium,4297.78,600,1,Lanthanides
Promethium,4336.54,300,0,Lanthanides
Promethium,4342.12,300,0,Lanthanides
Promethium,4369.64,150,0,Lanthanides
Promethium,4388.49,150,0,Lanthanides
Promethium,4412.47,100,0,Lanthanides
Promethium,4417.96,1000,1,Lanthanides
Promethium,4432.51,400,0,Lanthanides
Promethium,4445.41,500,0,Lanthanides
Promethium,4446.90,600,0,Lanthanides
Promethium,4453.95,800,1,Lanthanides
Promethium,4473.23,300,0,Lanthanides
Promethium,4481.60,150,0,Lanthanides
Promethium,4500.15,600,0,Lanthanides
Promethium,4525.20,600,0,Lanthanides
Promethium,4527.70,150,0,Lanthanides
