element,wavelength,intensity,persistence,type
Gold,1224.592,600,1,Transition Metals
Gold,1229.901,600,0,Transition Metals
Gold,1328.374,9,0,Transition Metals
Gold,1355.616,400,0,Transition Metals
Gold,1362.326,400,1,Transition Metals
Gold,1408.451,9,0,Transition Metals
Gold,1481.764,9,0,Transition Metals
Gold,1486.547,500,0,Transition Metals
Gold,1587.158,20,0,Transition Metals
Gold,1624.335,9,0,Transition Metals
Gold,1646.674,14,1,Transition Metals
Gold,1665.755,9,0,Transition Metals
Gold,1699.339,20,1,Transition Metals
Gold,1740.475,600,0,Transition Metals
Gold,1783.200,600,0,Transition Metals
Gold,1879.829,9,0,Transition Metals
Gold,1224.592,600,1,Transition Metals
Gold,1229.901,600,0,Transition Metals
Gold,1328.374,9,0,Transition Metals
Gold,1355.616,400,0,Transition Metals
Gold,1362.326,400,1,Transition Metals
Gold,1408.451,9,0,Transition Metals
Gold,1481.764,9,0,Transition Metals
Gold,1486.547,500,0,Transition Metals
Gold,1587.158,20,0,Transition Metals
Gold,1624.335,9,0,Transition Metals
Gold,1646.674,14,1,Transition Metals
Gold,1665.755,9,0,Transition Metals
Gold,1699.339,20,1,Transition Metals
Gold,1740.475,600,0,Transition Metals
Gold,1783.200,600,0,Transition Metals
Gold,1879.829,9,0,Transition Metals
Aluminum,1539.830,800,1,Post-transition Metals
Aluminum,1670.7886,1000,1,Post-transition Metals
Aluminum,1719.440,800,1,Post-transition Metals
Aluminum,1721.244,500,0,Post-transition Metals
Aluminum,1721.271,900,1,Post-transition Metals
Aluminum,1724.952,500,0,Post-transition Metals
Aluminum,1724.984,900,1,Post-transition Metals
Aluminum,1762.899,30,0,Post-transition Metals
Aluminum,1763.869,500,0,Post-transition Metals
Aluminum,1763.952,700,1,Post-transition Metals
Aluminum,1765.636,50,0,Post-transition Metals
Aluminum,1765.815,300,0,Post-transition Metals
Aluminum,1766.385,50,0,Post-transition Metals
Aluminum,1767.731,400,0,Post-transition Metals
Aluminum,1769.140,50,0,Post-transition Metals
Aluminum,1828.588,600,0,Post-transition Metals
Aluminum,1858.026,700,1,Post-transition Metals
Aluminum,1862.311,1000,1,Post-transition Metals
Aluminum,1990.531,700,0,Post-transition Metals
Aluminum,1539.830,800,1,Post-transition Metals
Aluminum,1670.7886,1000,1,Post-transition Metals
Aluminum,1719.440,800,1,Post-transition Metals
Aluminum,1721.244,500,0,Post-transition Metals
Aluminum,1721.271,900,1,Post-transition Metals
Aluminum,1724.952,500,0,Post-transition Metals
Aluminum,1724.984,900,1,Post-transition Metals
Aluminum,1762.899,30,0,Post-transition Metals
Aluminum,1763.869,500,0,Post-transition Metals
Aluminum,1763.952,700,1,Post-transition Metals
Aluminum,1765.636,50,0,Post-transition Metals
Aluminum,1765.815,300,0,Post-transition Metals
Aluminum,1766.385,50,0,Post-transition Metals
Aluminum,1767.731,400,0,Post-transition Metals
Aluminum,1769.140,50,0,Post-transition Metals
Aluminum,1828.588,600,0,Post-transition Metals
Aluminum,1858.026,700,1,Post-transition Metals
Aluminum,1862.311,1000,1,Post-transition Metals
Aluminum,1990.531,700,0,Post-transition Metals
Helium,,15,0,Noble Gases
Helium,,20,0,Noble Gases
Helium,,30,0,Noble Gases
Helium,,50,0,Noble Gases
Helium,,100,0,Noble Gases
Helium,,300,1,Noble Gases
Helium,,150,1,Noble Gases
Helium,,1000,1,Noble Gases
Helium,,500,1,Noble Gases
Helium,,10,0,Noble Gases
Helium,,2,0,Noble Gases
Helium,,3,0,Noble Gases
Helium,,4,0,Noble Gases
Helium,,5,0,Noble Gases
Helium,,7,0,Noble Gases
Helium,,10,0,Noble Gases
Helium,,15,0,Noble Gases
Helium,,20,0,Noble Gases
Helium,,25,0,Noble Gases
Helium,,35,0,Noble Gases
Helium,,50,0,Noble Gases
Helium,,100,1,Noble Gases
Helium,,400,1,Noble Gases
Helium,,1000,1,Noble Gases
Helium,,50,0,Noble Gases
Helium,,5,0,Noble Gases
Helium,,6,0,Noble Gases
Helium,,8,0,Noble Gases
Helium,1025.27,15,0,Noble Gases
Helium,1084.94,30,0,Noble Gases
Helium,1215.09,35,0,Noble Gases
Helium,1215.17,50,0,Noble Gases
Helium,1640.3321,120,1,Noble Gases
Helium,1640.3447,50,1,Noble Gases
Helium,1640.3750,7,1,Noble Gases
Helium,1640.3914,25,1,Noble Gases
Helium,1640.4742,180,1,Noble Gases
Helium,1640.4897,25,1,Noble Gases
Helium,1640.5326,15,1,Noble Gases
Helium,,15,0,Noble Gases
Helium,,20,0,Noble Gases
Helium,,30,0,Noble Gases
Helium,,50,0,Noble Gases
Helium,,100,0,Noble Gases
Helium,,300,1,Noble Gases
Helium,,150,1,Noble Gases
Helium,,1000,1,Noble Gases
Helium,,500,1,Noble Gases
Helium,,10,0,Noble Gases
Helium,,2,0,Noble Gases
Helium,,3,0,Noble Gases
Helium,,4,0,Noble Gases
Helium,,5,0,Noble Gases
Helium,,7,0,Noble Gases
Helium,,10,0,Noble Gases
Helium,,15,0,Noble Gases
Helium,,20,0,Noble Gases
Helium,,25,0,Noble Gases
Helium,,35,0,Noble Gases
Helium,,50,0,Noble Gases
Helium,,100,1,Noble Gases
Helium,,400,1,Noble Gases
Helium,,1000,1,Noble Gases
Helium,,50,0,Noble Gases
Helium,,5,0,Noble Gases
Helium,,6,0,Noble Gases
Helium,,8,0,Noble Gases
Helium,1025.27,15,0,Noble Gases
Helium,1084.94,30,0,Noble Gases
Helium,1215.09,35,0,Noble Gases
