trial,electrode,peaks_function,precision,fmin,fmax,n_peaks,harm_thresh,delta_lim,sf,peaks_avg,euler,resonance,PPC_bicor,sum_p_q,sum_distinct_intervals,metric_3,sum_p_q_for_all_intervals,sum_q_for_all_intervals,harm_sim,matrix_harm_sim,matrix_cons,matrix_denom,cons,tenney,harm_fit,harmsim,subharm_tension
0,0,EMD,0.5,2,60,3,30,150,160.0,6.833333333333333,18,2.585753463790752e-06,1.8365369e-06,23,0,3.33333333333333,0,0.0,16.92,0.0,0.0,0.0,0.2576923076923077,4.681578542018969,5,16.923076923076923,[0.0]
0,1,EMD,0.5,2,60,3,30,150,160.0,5.833333333333333,19,2.165956110589972e-06,4.362531e-06,53,6,8.93333333333333,166,70,25.38,7.606837606837607,0.08273504273504274,5.722222222222222,0.4217948717948718,5.348245208685636,2,25.384615384615387,[0.1523442192103758]
0,2,EMD,0.5,2,60,3,30,150,160.0,4.833333333333333,13,2.347732386205901e-06,4.8721836e-06,44,6,12.8333333333333,246,112,27.25,6.635802469135803,0.0702790375409423,6.166666666666667,0.40079365079365076,5.318186615666611,2,27.24867724867725,[0.0918240845268572]
0,3,EMD,0.5,2,60,3,30,150,160.0,4.666666666666667,25,2.735143880272517e-06,4.625333e-06,75,6,22.0000000000000,286,125,20.03,5.7406295851674,0.060682606375883685,6.833333333333333,0.3011204481792717,5.929878508871962,1,20.028011204481793,[0.07524846423477512]
0,4,EMD,0.5,2,60,3,30,150,160.0,6.166666666666667,12,4.187230388197349e-06,2.2520574e-06,41,0,1.77777777777778,0,0.0,10.0,0.0,0.0,0.0,0.22749999999999998,5.095904126516483,5,10.0,[0.0]
0,5,EMD,0.5,2,60,3,30,150,160.0,5.333333333333333,6,2.0317739199526843e-06,2.2273791e-06,9,0,4.00000000000000,0,0.0,40.0,0.0,0.0,0.0,0.7,2.2146187299249083,7,40.0,[0.0]
0,6,EMD,0.5,2,60,3,30,150,160.0,5.166666666666667,22,2.6817742764251307e-06,1.7947683e-06,35,0,5.33333333333333,0,0.0,11.18,0.0,0.0,0.0,0.24013157894736842,4.831951675629057,5,11.18421052631579,[0.0]
0,7,EMD,0.5,2,60,3,30,150,160.0,5.166666666666667,6,1.9939282841126746e-06,2.7715612e-06,15,4,6.00000000000000,54,22,72.22,16.666666666666668,0.19675925925925927,1.888888888888889,0.5833333333333334,3.0566416671474372,2,72.22222222222221,NaN
0,8,EMD,0.5,2,60,3,30,150,160.0,4.833333333333333,27,4.467790014522117e-07,2.3828827e-06,70,6,8.59523809523809,452,177,19.78,5.256769374416433,0.05622915832999867,16.27777777777778,0.26778711484593837,6.144497238796871,1,19.77591036414566,[0.0906806677624659]
0,9,EMD,0.5,2,60,3,30,150,160.0,4.666666666666667,25,2.2234974039747613e-06,4.3779823e-06,75,6,22.0000000000000,286,125,20.03,5.7406295851674,0.060682606375883685,6.833333333333333,0.3011204481792717,5.929878508871962,1,20.028011204481793,[0.07524846423477512]
