Method,Noise decibels,Median distance,Std deviation
fixed,0,0.0,0.0
fixed,1,0.0,0.0
fixed,2,0.0,0.0
fixed,3,0.0,0.0
fixed,4,0.0,0.0
fixed,5,0.0,0.0
fixed,6,0.0,0.0
fixed,7,0.0,0.0
fixed,8,0.0,0.0
fixed,9,0.0,0.0
fixed,10,0.0,0.0
fixed,11,0.0,0.024874685927665497
fixed,12,0.0,0.024874685927665497
fixed,13,0.0,0.04264680527307995
fixed,14,0.0,0.06910137480542627
fixed,15,0.0,0.0960143218483576
fixed,16,0.0,0.36813720268399935
fixed,17,0.0,0.4736823830374104
fixed,18,0.0,0.46353937265349965
fixed,19,0.25,0.5627777092245214
fixed,20,0.5,0.6730295312985902
fixed,21,0.75,0.6671581521648371
fixed,22,1.0,0.7640189788218613
fixed,23,1.0,0.8118612874130654
fixed,24,1.0,0.6910318371826294
fixed,25,1.25,0.76679120365325
fixed,26,1.25,0.8134187113658009
fixed,27,1.25,0.7525415270933559
fixed,28,1.25,0.7780223325843546
fixed,29,1.5,0.6951798328490262
fixed,30,1.5,0.7539023477878286
fixed,31,1.5,0.6993702524414375
fixed,32,1.5,0.7365926621953276
fixed,33,1.5,0.7323720024686907
fixed,34,1.5,0.7018903048197774
fixed,35,1.5,0.719444229944198
fixed,36,1.5,0.6721420980715312
fixed,37,1.5,0.7313130314714759
fixed,38,1.5,0.7303081541376901
fixed,39,1.5,0.6845208177988453
harmonic_recurrence,0,0.0,0.1616129635889398
harmonic_recurrence,1,0.0,0.105
harmonic_recurrence,2,0.0,0.26485845276298053
harmonic_recurrence,3,0.0,0.07462405778299648
harmonic_recurrence,4,0.0,0.0
harmonic_recurrence,5,0.0,0.105
harmonic_recurrence,6,0.0,0.17421251390184345
harmonic_recurrence,7,0.0,0.22638462845343543
harmonic_recurrence,8,0.0,0.12376893794486563
harmonic_recurrence,9,0.0,0.0
harmonic_recurrence,10,0.0,0.17684739183827392
harmonic_recurrence,11,0.0,0.17195566289017644
harmonic_recurrence,12,0.0,0.19455076458343723
harmonic_recurrence,13,0.0,0.2171405075060846
harmonic_recurrence,14,0.0,0.2224297641953523
harmonic_recurrence,15,0.0,0.3859727969689055
harmonic_recurrence,16,0.0,0.27716195626384227
harmonic_recurrence,17,0.0,0.7275128864838065
harmonic_recurrence,18,0.0,0.567555063407948
harmonic_recurrence,19,0.25,0.8535916763886583
harmonic_recurrence,20,0.75,0.7713478808623816
harmonic_recurrence,21,0.5,0.6635651814253066
harmonic_recurrence,22,0.875,0.8378693215531882
harmonic_recurrence,23,1.0,0.8631483070712703
harmonic_recurrence,24,1.0,0.7534752816118124
harmonic_recurrence,25,1.25,0.8421512631350737
harmonic_recurrence,26,1.375,0.8480086968893658
harmonic_recurrence,27,1.25,0.8338764896553925
harmonic_recurrence,28,1.25,0.8508047660891422
harmonic_recurrence,29,1.25,0.838819855511301
harmonic_recurrence,30,1.5,0.8211691360493282
harmonic_recurrence,31,1.125,0.771135526350589
harmonic_recurrence,32,1.5,0.7049113419430844
harmonic_recurrence,33,1.5,0.6655073252789935
harmonic_recurrence,34,1.375,0.7593212429532049
harmonic_recurrence,35,1.25,0.8138488803211565
harmonic_recurrence,36,1.5,0.7073895673530958
harmonic_recurrence,37,1.5,0.7307701416998371
harmonic_recurrence,38,1.5,0.7144228439796702
harmonic_recurrence,39,1.5,0.7644605941446557
EIMC,0,0.0,0.7729812416870154
EIMC,1,0.0,0.6955393590588529
EIMC,2,0.0,0.6831681710969854
EIMC,3,0.0,0.6556675987114202
EIMC,4,0.0,0.5912698199637794
EIMC,5,0.0,0.7183355899535387
EIMC,6,0.0,0.6742773909897913
EIMC,7,0.0,0.47861127232859857
