Method,Noise decibels,Median distance,Std deviation
fixed,0,0.0,0.0
fixed,1,0.0,0.0
fixed,2,0.0,0.0
fixed,3,0.0,0.0
fixed,4,0.0,0.0
fixed,5,0.0,0.0
fixed,6,0.0,0.0
fixed,7,0.0,0.0
fixed,8,0.0,0.0
fixed,9,0.0,0.0
fixed,10,0.0,0.0
fixed,11,0.0,0.0
fixed,12,0.0,0.0
fixed,13,0.0,0.0
fixed,14,0.0,0.0
fixed,15,0.0,0.0
fixed,16,0.0,0.0
fixed,17,0.0,0.0
fixed,18,0.0,0.0
fixed,19,0.0,0.0913783344124853
fixed,20,0.0,0.20952326839756963
fixed,21,0.0,0.26195180854500705
fixed,22,0.0,0.3937003937005905
fixed,23,0.5,0.6030961780678104
fixed,24,0.5,0.6991914973739312
fixed,25,0.5,0.7180659788626669
fixed,26,1.0,0.658876885313182
fixed,27,1.0,0.7690741186647747
fixed,28,1.0,0.76
fixed,29,1.25,0.7850597111048305
fixed,30,1.25,0.7180877383718511
fixed,31,1.5,0.710857756516731
fixed,32,1.5,0.7901700766290761
fixed,33,1.5,0.6797563901869551
fixed,34,1.5,0.7988272654335229
fixed,35,1.5,0.7403546447480425
fixed,36,1.5,0.7342470633240559
fixed,37,1.5,0.7065054847628573
fixed,38,1.5,0.6274153329334564
fixed,39,1.5,0.6677340413667705
harmonic_recurrence,0,0.0,0.20006249023742556
harmonic_recurrence,1,0.0,0.0746240577829965
harmonic_recurrence,2,0.0,0.2093292860542929
harmonic_recurrence,3,0.0,0.1576982878791016
harmonic_recurrence,4,0.0,0.223606797749979
harmonic_recurrence,5,0.0,0.25703842125254345
harmonic_recurrence,6,0.0,0.1812456896039186
harmonic_recurrence,7,0.0,0.26
harmonic_recurrence,8,0.0,0.09949874371066199
harmonic_recurrence,9,0.0,0.18874586088176873
harmonic_recurrence,10,0.0,0.1883314896664921
harmonic_recurrence,11,0.0,0.31917863337009267
harmonic_recurrence,12,0.0,0.16618889854620253
harmonic_recurrence,13,0.0,0.14696938456699069
harmonic_recurrence,14,0.0,0.0
harmonic_recurrence,15,0.0,0.14439529078193647
harmonic_recurrence,16,0.0,0.14618053906043718
harmonic_recurrence,17,0.0,0.21123150806638671
harmonic_recurrence,18,0.0,0.17457090250096094
harmonic_recurrence,19,0.0,0.2735872804060891
harmonic_recurrence,20,0.0,0.3071135783386987
harmonic_recurrence,21,0.0,0.4716990566028302
harmonic_recurrence,22,0.0,0.6484789896365186
harmonic_recurrence,23,0.25,0.6278684177437182
harmonic_recurrence,24,0.25,0.7228891685452203
harmonic_recurrence,25,0.75,0.7668278816005584
harmonic_recurrence,26,0.75,0.7811009857886494
harmonic_recurrence,27,0.75,0.7749838707999025
harmonic_recurrence,28,1.125,0.702121784308107
harmonic_recurrence,29,1.0,0.7638062581571324
harmonic_recurrence,30,1.0,0.7856963471978218
harmonic_recurrence,31,1.25,0.9115783016285545
harmonic_recurrence,32,1.25,0.81447452384958
harmonic_recurrence,33,1.25,0.8340413658806138
harmonic_recurrence,34,1.5,0.6736978180163568
harmonic_recurrence,35,1.5,0.6779380502671317
harmonic_recurrence,36,1.5,0.6804180700128415
harmonic_recurrence,37,1.0,0.7405065833603371
harmonic_recurrence,38,1.125,0.7035623639735145
harmonic_recurrence,39,1.25,0.7509119455701847
EIMC,0,0.0,0.7569469928601342
EIMC,1,0.0,0.7283328565978606
EIMC,2,0.0,0.4666101156211683
EIMC,3,0.0,0.9179154372816702
EIMC,4,0.0,0.6832779449096831
EIMC,5,0.0,0.7295717922178735
EIMC,6,0.0,0.5138336306626884
EIMC,7,0.0,0.9232280325033465
EIMC,8,0.0,0.7219937672861173
EIMC,9,0.0,0.6789882178653766
