Method,Noise decibels,Median distance,Std deviation
fixed,0,0.0,0.0
fixed,1,0.0,0.0
fixed,2,0.0,0.0
fixed,3,0.0,0.0
fixed,4,0.0,0.0
fixed,5,0.0,0.0
fixed,6,0.0,0.0
fixed,7,0.0,0.0
fixed,8,0.0,0.0
fixed,9,0.0,0.0
fixed,10,0.0,0.0
fixed,11,0.0,0.0
fixed,12,0.0,0.024874685927665497
fixed,13,0.0,0.04264680527307996
fixed,14,0.0,0.04898979485566356
fixed,15,0.0,0.16628289148315892
fixed,16,0.0,0.2532785028382788
fixed,17,0.0,0.34110115801621077
fixed,18,0.0,0.557314991723711
fixed,19,0.375,0.6208612969093821
fixed,20,0.5,0.6039246641759219
fixed,21,1.0,0.7627704438427068
fixed,22,0.875,0.6980508577460528
fixed,23,1.0,0.7617250159998685
fixed,24,1.0,0.6896557112066861
fixed,25,1.25,0.7250000000000001
fixed,26,1.0,0.7702921523681778
fixed,27,1.5,0.7445636305917714
fixed,28,1.25,0.7478469094674391
fixed,29,1.5,0.7275816105427625
fixed,30,1.5,0.7850597111048305
fixed,31,1.5,0.6538348415311009
fixed,32,1.25,0.7334635301090301
fixed,33,1.25,0.6668770501374298
fixed,34,1.5,0.7474289263869842
fixed,35,1.5,0.6706526671832448
fixed,36,1.5,0.6900135868227524
fixed,37,1.5,0.6422616289332566
fixed,38,1.5,0.6433263168874719
fixed,39,1.25,0.6329445078361926
harmonic_recurrence,0,0.0,0.14924811556599296
harmonic_recurrence,1,0.0,0.0
harmonic_recurrence,2,0.0,0.25752427070084094
harmonic_recurrence,3,0.0,0.1849831073368593
harmonic_recurrence,4,0.0,0.1584889586059546
harmonic_recurrence,5,0.0,0.0
harmonic_recurrence,6,0.0,0.17327723451163457
harmonic_recurrence,7,0.0,0.17327723451163454
harmonic_recurrence,8,0.0,0.0746240577829965
harmonic_recurrence,9,0.0,0.15921683328090658
harmonic_recurrence,10,0.0,0.1576982878791016
harmonic_recurrence,11,0.0,0.3915593824696325
harmonic_recurrence,12,0.0,0.26358110706194404
harmonic_recurrence,13,0.0,0.2670557057993706
harmonic_recurrence,14,0.0,0.450131925106407
harmonic_recurrence,15,0.0,0.37165171868296265
harmonic_recurrence,16,0.0,0.2920937349550654
harmonic_recurrence,17,0.0,0.6052685354452187
harmonic_recurrence,18,0.0,0.5809475019311126
harmonic_recurrence,19,0.5,0.6791538853603063
harmonic_recurrence,20,0.5,0.7988233534392946
harmonic_recurrence,21,1.0,0.8108637370113428
harmonic_recurrence,22,1.0,0.8643060800434069
harmonic_recurrence,23,1.0,0.7739670535623593
harmonic_recurrence,24,1.0,0.8181190316818208
harmonic_recurrence,25,1.0,0.8575255098246349
harmonic_recurrence,26,1.25,0.8784361103688759
harmonic_recurrence,27,1.5,0.9457107115815068
harmonic_recurrence,28,1.25,0.8281719326323489
harmonic_recurrence,29,1.5,0.7303209910717342
harmonic_recurrence,30,1.25,0.8633655077659751
harmonic_recurrence,31,1.5,0.7224048380236667
harmonic_recurrence,32,1.375,0.7709207157678409
harmonic_recurrence,33,1.5,0.733893725276351
harmonic_recurrence,34,1.5,0.8038812101299544
harmonic_recurrence,35,1.5,0.761232553166245
harmonic_recurrence,36,1.5,1.004549028171348
harmonic_recurrence,37,1.5,0.7858554256350209
harmonic_recurrence,38,1.5,0.8505108758857819
harmonic_recurrence,39,1.5,0.839921871366617
EIMC,0,0.0,0.629181015288923
EIMC,1,0.0,0.6301587101675261
EIMC,2,0.0,0.6620800555824046
EIMC,3,0.0,0.8329878450493742
EIMC,4,0.0,0.7855889510424647
EIMC,5,0.0,0.7900118669994775
EIMC,6,0.0,0.811553294614716
EIMC,7,0.0,0.8237718130647591
